a   1
and   15
be   2
beginning   1
called   2
created   1
darkness   3
day   2
deep   1
divide   1
divided   1
earth   2
evening   1
face   2
firmament   1
first   1
form   1
from   2
genesis   2
god   7
good   1
he   1
heaven   1
in   2
it   2
let   3
light   5
midst   1
morning   1
moved   1
night   1
of   4
old   1
said   2
saw   1
spirit   1
testament   1
that   1
the   22
there   3
upon   2
void   1
was   4
waters   4
were   1
without   1
